Feed_T_K,Feed_P_Pa,Feed_xBenzene,Number_of_Stages,Feed_Stage,Reflux_Ratio,Bottoms_Flow_mol_s,Feed_Molar_Flow_mol_s,xD_Benzene,xB_Benzene,QC_kW,QR_kW,Source_File
355.843896432557,100704.93628759672,0.6534150654006627,12,8,1.7211448473075406,4.173262358021318,10.0005715115753,0.9854392985856264,0.1897887737918584,0.482128570509961,0.49353987363009,DWSIM_Benzene_Toluene_Dataset(3).csv
372.8948201239015,98322.74494193362,0.6130973990529655,12,9,2.8108143423764504,5.400267611539501,10.0005715115753,0.9952761222491326,0.2875299594479336,0.5319032656034042,0.2063526393447552,DWSIM_Benzene_Toluene_Dataset(3).csv
362.0532626604877,104814.12473367358,0.4912797936210389,10,5,3.216564322591105,5.378478689483313,10.0005715115753,0.9629963816129574,0.0858922599397924,0.5953569016952083,0.606161517334421,DWSIM_Benzene_Toluene_Dataset(3).csv
364.8937825789164,109899.42005477112,0.6424446160268086,10,7,3.447132148141168,5.573262276711766,10.0005715115753,0.9959580844433912,0.3616192248738907,0.5972886628580834,0.5352032926089296,DWSIM_Benzene_Toluene_Dataset(3).csv
367.86233470403977,104591.0070981443,0.5488559593567848,10,8,1.5991024775620026,4.007618536318503,10.0005715115753,0.7966102734317649,0.178366837849731,0.4905012107438752,0.3378687417428343,DWSIM_Benzene_Toluene_Dataset(3).csv
366.7519410944948,106849.75285349236,0.4856392496416711,10,6,3.1829905844292177,4.766020216392226,10.0005715115753,0.8874765063489876,0.0443031475958577,0.6787752152475297,0.6823583892445858,DWSIM_Benzene_Toluene_Dataset(3).csv
368.3742005312032,109384.09265366632,0.4350422029151203,10,5,1.71456145066314,5.210151709014531,10.0005715115753,0.8376938313095161,0.064830054772913,0.4067015033700757,0.4094302136930632,DWSIM_Benzene_Toluene_Dataset(3).csv
384.4970777154256,99410.73138150432,0.3997726993695562,10,4,2.965155359445885,4.03683639939785,10.0005715115753,0.6626511543230647,0.0114151977394974,0.7594445873276973,0.4205836766530678,DWSIM_Benzene_Toluene_Dataset(3).csv
379.72971433724354,96196.8077273575,0.3556688937216663,10,4,1.7637387851210595,5.217823758716164,10.0005715115753,0.6200100007316489,0.113368990359657,0.4268315505694253,0.0927756403116899,DWSIM_Benzene_Toluene_Dataset(3).csv
383.0224306546287,103288.68797806908,0.4646690636891801,10,8,1.7342037425628123,4.005421171170667,10.0005715115753,0.6832692035038043,0.1374775144142206,0.524981955695851,0.1864879730144581,DWSIM_Benzene_Toluene_Dataset(3).csv
376.5607446123348,95694.45121817976,0.5875828978936767,10,5,1.9197445224713927,4.611074109658963,10.0005715115753,0.9098637901829488,0.2108951608525258,0.4857730370800224,0.1559629538645833,DWSIM_Benzene_Toluene_Dataset(3).csv
384.1680289754776,104426.08259866144,0.3199391954618108,10,7,1.680605392665106,5.350277011405602,10.0005715115753,0.5542793821432765,0.1162580226609215,0.405614186859724,0.0660244187810811,DWSIM_Benzene_Toluene_Dataset(3).csv
378.78381176965274,97464.36461607592,0.6835362526369507,10,7,2.452904205157252,5.220825601511254,10.0005715115753,0.9895796838655692,0.4033492414072888,0.5013592756161726,0.1682891452924684,DWSIM_Benzene_Toluene_Dataset(3).csv
380.7226182023279,101965.67496874218,0.594577797894289,10,7,2.4429888414703544,5.999078387918054,10.0005715115753,0.9737612556250758,0.3416559115625822,0.4199225820432406,0.0844477177922937,DWSIM_Benzene_Toluene_Dataset(3).csv
